CHEKLIST	NAME	LABEL	DESCRIPTION	MANDATORY	VALUE	UNIT	REGEX_VALUE
ERC000011	geographic location (region and locality)	geographic location (region and locality)	The geographical origin of the sample as defined by the specific region name followed by the locality name.	optional			
ERC000011	identified_by	identified_by	name of the expert who identified the specimen taxonomically	optional			
ERC000011	environmental_sample	environmental_sample	identifies sequences derived by direct molecular isolation from a bulk environmental DNA sample (by PCR with or without subsequent cloning of the product, DGGE, or other anonymous methods) with no reliable identification of the source organism	optional	No@Yes		
ERC000011	mating_type	mating_type	"mating type of the organism from which the sequence was obtained; mating type is used for prokaryotes, and for eukaryotes that undergo meiosis without sexually dimorphic gametes"	optional			
ERC000011	sex	sex	sex of the organism from which the sample was obtained	optional			
ERC000011	lab_host	lab_host	scientific name of the laboratory host used to propagate the source organism from which the sample was obtained	optional			
ERC000011	host scientific name	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.	optional			
ERC000011	bio_material	bio_material	identifier for the biological material from which the sample was obtained, with optional institution code and collection code for the place where it is currently stored.	optional			
ERC000011	culture_collection	culture_collection	institution code and identifier for the culture from which the sample was obtained, with optional collection code.	optional			
ERC000011	specimen_voucher	specimen_voucher	identifier for the specimen from which the sample was obtained	optional			
ERC000011	cultivar	cultivar	cultivar (cultivated variety) of plant from which sample was obtained	optional			
ERC000011	ecotype	ecotype	a population within a given species displaying genetically based, phenotypic traits that reflect adaptation to a local habitat.	optional			
ERC000011	isolate	isolate	individual isolate from which the sample was obtained	optional			
ERC000011	sub_species	sub_species	name of sub-species of organism from which sample was obtained	optional			
ERC000011	variety	variety	variety (= varietas, a formal Linnaean rank) of organism from which sample was derived.	optional			
ERC000011	sub_strain	sub_strain	"name or identifier of a genetically or otherwise modified strain from which sample was obtained, derived from a parental strain (which should be annotated in the strain field; sub_strain from which sample was obtained"	optional			
ERC000011	cell_line	cell_line	cell line from which the sample was obtained	optional			
ERC000011	serotype	serotype	serological variety of a species characterized by its antigenic properties	optional			
ERC000011	serovar	serovar	serological variety of a species (usually a prokaryote) characterized by its antigenic properties	optional			
ERC000011	strain	strain	Name of the strain from which the sample was obtained.	optional			
ERC000012	project name	project name	Name of the project within which the sequencing was organized	mandatory			
ERC000012	experimental factor	experimental factor	"Experimental factors are essentially the variable aspects of an experiment design which can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI). For a browser of EFO (v 2.43) terms, please see http://purl.bioontology.org/ontology/EFO; for a browser of OBI (v 2013-10-25) terms please see http://purl.bioontology.org/ontology/OBI"	optional			
ERC000012	ploidy	ploidy	The ploidy level of the genome (e.g. allopolyploid, haploid, diploid, triploid, tetraploid). It has implications for the downstream study of duplicated gene and regions of the genomes (and perhaps for difficulties in assembly). For terms, please select terms listed under class ploidy (PATO:001374) of Phenotypic Quality Ontology (PATO), and for a browser of PATO (v 2013-10-28) please refer to http://purl.bioontology.org/ontology/PATO. Mandatory for MIGS of eukaryotes.	optional			
ERC000012	number of replicons	number of replicons	Reports the number of replicons in a nuclear genome of eukaryotes, in the genome of a bacterium or archaea or the number of segments in a segmented virus. Always applied to the haploid chromosome count of a eukaryote. Mandatory for MIGS of eukaryotes, bacteria, archaea and segmented virus.	optional			[+-]?[0-9]+
ERC000012	extrachromosomal elements	extrachromosomal elements	Do plasmids exist of significant phenotypic consequence (e.g. ones that determine virulence or antibiotic resistance). Megaplasmids? Other plasmids (borrelia has 15+ plasmids).	optional			[+-]?[0-9]+
ERC000012	estimated size	estimated size	The estimated size of the genome (in bp) prior to sequencing. Of particular importance in the sequencing of (eukaryotic) genome which could remain in draft form for a long or unspecified period. Mandatory for MIGS of eukaryotes.	optional			[+-]?[0-9]+
ERC000012	reference for biomaterial	reference for biomaterial	"Primary publication if isolated before genome publication; otherwise, primary genome report. Mandatory for MIGS of bacteria and archaea."	optional			
ERC000012	finishing strategy	finishing strategy	Was the genome project intended to produce a complete or draft genome, Coverage, the fold coverage of the sequencing expressed as 2x, 3x, 18x etc, and how many contigs were produced for the genome. Mandatory for MIGS of eukaryote, bacteria and archaea.	optional			
ERC000012	annotation source	annotation source	For cases where annotation was provided by a community jamboree or model organism database rather than by a specific submitter	optional			
ERC000012	sample volume or weight for DNA extraction	sample volume or weight for DNA extraction	Volume (mL) or weight (g) of sample processed for DNA extraction	optional		g@mL@mg@ng	(0|((0\.)|([1-9][0-9]*\.?))[0-9]*)([Ee][+-]?[0-9]+)?
ERC000012	nucleic acid extraction	nucleic acid extraction	Link to a literature reference, electronic resource or a standard operating procedure (SOP)	optional			
ERC000012	nucleic acid amplification	nucleic acid amplification	Link to a literature reference, electronic resource or a standard operating procedure (SOP)	optional			
ERC000012	library size	library size	Total number of clones in the library prepared for the project	optional			[+-]?[0-9]+
ERC000012	library reads sequenced	library reads sequenced	Total number of clones sequenced from the library	optional			[+-]?[0-9]+
ERC000012	library construction method	library construction method	Library construction method used for clone libraries	optional			
ERC000012	library vector	library vector	Cloning vector type(s) used in construction of libraries	optional			
ERC000012	library screening strategy	library screening strategy	Specific enrichment or screening methods applied before and/or after creating clone libraries in order to select a specific group of sequences	optional			
ERC000012	target gene	target gene	Targeted gene or locus name for marker gene studies	optional			
ERC000012	target subfragment	target subfragment	Name of subfragment of a gene or locus. Important to e.g. identify special regions on marker genes like V6 on 16S rRNA	optional			
ERC000012	pcr primers	pcr primers	PCR primers that were used to amplify the sequence of the targeted gene, locus or subfragment. This field should contain all the primers used for a single PCR reaction if multiple forward or reverse primers are present in a single PCR reaction. The primer sequence should be reported in uppercase letters	optional			
ERC000012	multiplex identifiers	multiplex identifiers	Molecular barcodes, called Multiplex Identifiers (MIDs), that are used to specifically tag unique samples in a sequencing run. Sequence should be reported in uppercase letters	optional			
ERC000012	adapters	adapters	"Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters"	optional			
ERC000012	pcr conditions	pcr conditions	"Description of reaction conditions and components for PCR in the form of 'initial denaturation:94degC_1.5min; annealing=...'"	optional			
ERC000012	sequencing method	sequencing method	"Sequencing method used; e.g. Sanger, pyrosequencing, ABI-solid"	mandatory			
ERC000012	sequence quality check	sequence quality check	Indicate if the sequence has been called by automatic systems (none) or undergone a manual editing procedure (e.g. by inspecting the raw data or chromatograms). Applied only for sequences that are not submitted to SRA or DRA	optional	manual@none@software		
ERC000012	chimera check	chimera check	A chimeric sequence, or chimera for short, is a sequence comprised of two or more phylogenetically distinct parent sequences. Chimeras are usually PCR artifacts thought to occur when a prematurely terminated amplicon reanneals to a foreign DNA strand and is copied to completion in the following PCR cycles. The point at which the chimeric sequence changes from one parent to the next is called the breakpoint or conversion point	optional			
ERC000012	relevant electronic resources	relevant electronic resources	-	optional			
ERC000012	relevant standard operating procedures	relevant standard operating procedures	Standard operating procedures used in assembly and/or annotation of genomes, metagenomes or environmental sequences	optional			
ERC000012	investigation type	investigation type	Nucleic Acid Sequence Report is the root element of all MIxS compliant reports as standardised by Genomic Standards Consortium	mandatory	bacteria_archaea@eukaryote@metagenome@metagenome-assembled genome@metatranscriptome@mimarks-specimen@mimarks-survey@organelle@plasmid@single amplified genome@uncultivated viral genomes@virus		
ERC000012	collection date	collection date	"The date of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid ISO8601 compliant times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008."	mandatory			(^[0-9]{4}(-[0-9]{2}(-[0-9]{2}(T[0-9]{2}:[0-9]{2}(:[0-9]{2})?Z?([+-][0-9]{1,2})?)?)?)?(/[0-9]{4}(-[0-9]{2}(-[0-9]{2}(T[0-9]{2}:[0-9]{2}(:[0-9]{2})?Z?([+-][0-9]{1,2})?)?)?)?)?$)|(^not collected$)|(^not provided$)|(^restricted access$)
ERC000012	geographic location (altitude)	geographic location (altitude)	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.	mandatory		m	(0|((0\.)|([1-9][0-9]*\.?))[0-9]*)([Ee][+-]?[0-9]+)?
ERC000012	geographic location (country and/or sea)	geographic location (country and/or sea)	The geographical origin of the sample as defined by the country or sea. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html).	mandatory	Afghanistan@Albania@Algeria@American Samoa@Andorra@Angola@Anguilla@Antarctica@Antigua and Barbuda@Arctic Ocean@Argentina@Armenia@Aruba@Ashmore and Cartier Islands@Atlantic Ocean@Australia@Austria@Azerbaijan@Bahamas@Bahrain@Baker Island@Baltic Sea@Bangladesh@Barbados@Bassas da India@Belarus@Belgium@Belize@Benin@Bermuda@Bhutan@Bolivia@Borneo@Bosnia and Herzegovina@Botswana@Bouvet Island@Brazil@British Virgin Islands@Brunei@Bulgaria@Burkina Faso@Burundi@Cambodia@Cameroon@Canada@Cape Verde@Cayman Islands@Central African Republic@Chad@Chile@China@Christmas Island@Clipperton Island@Cocos Islands@Colombia@Comoros@Cook Islands@Coral Sea Islands@Costa Rica@Cote d'Ivoire@Croatia@Cuba@Curacao@Cyprus@Czech Republic@Democratic Republic of the Congo@Denmark@Djibouti@Dominica@Dominican Republic@East Timor@Ecuador@Egypt@El Salvador@Equatorial Guinea@Eritrea@Estonia@Ethiopia@Europa Island@Falkland Islands (Islas Malvinas)@Faroe Islands@Fiji@Finland@France@French Guiana@French Polynesia@French Southern and Antarctic Lands@Gabon@Gambia@Gaza Strip@Georgia@Germany@Ghana@Gibraltar@Glorioso Islands@Greece@Greenland@Grenada@Guadeloupe@Guam@Guatemala@Guernsey@Guinea@Guinea-Bissau@Guyana@Haiti@Heard Island and McDonald Islands@Honduras@Hong Kong@Howland Island@Hungary@Iceland@India@Indian Ocean@Indonesia@Iran@Iraq@Ireland@Isle of Man@Israel@Italy@Jamaica@Jan Mayen@Japan@Jarvis Island@Jersey@Johnston Atoll@Jordan@Juan de Nova Island@Kazakhstan@Kenya@Kerguelen Archipelago@Kingman Reef@Kiribati@Kosovo@Kuwait@Kyrgyzstan@Laos@Latvia@Lebanon@Lesotho@Liberia@Libya@Liechtenstein@Lithuania@Luxembourg@Macau@Macedonia@Madagascar@Malawi@Malaysia@Maldives@Mali@Malta@Marshall Islands@Martinique@Mauritania@Mauritius@Mayotte@Mediterranean Sea@Mexico@Micronesia@Midway Islands@Moldova@Monaco@Mongolia@Montenegro@Montserrat@Morocco@Mozambique@Myanmar@Namibia@Nauru@Navassa Island@Nepal@Netherlands@New Caledonia@New Zealand@Nicaragua@Niger@Nigeria@Niue@Norfolk Island@North Korea@North Sea@Northern Mariana Islands@Norway@Oman@Pacific Ocean@Pakistan@Palau@Palmyra Atoll@Panama@Papua New Guinea@Paracel Islands@Paraguay@Peru@Philippines@Pitcairn Islands@Poland@Portugal@Puerto Rico@Qatar@Republic of the Congo@Reunion@Romania@Ross Sea@Russia@Rwanda@Saint Helena@Saint Kitts and Nevis@Saint Lucia@Saint Pierre and Miquelon@Saint Vincent and the Grenadines@Samoa@San Marino@Sao Tome and Principe@Saudi Arabia@Senegal@Serbia@Seychelles@Sierra Leone@Singapore@Sint Maarten@Slovakia@Slovenia@Solomon Islands@Somalia@South Africa@South Georgia and the South Sandwich Islands@South Korea@Southern Ocean@Spain@Spratly Islands@Sri Lanka@Sudan@Suriname@Svalbard@Swaziland@Sweden@Switzerland@Syria@Taiwan@Tajikistan@Tanzania@Tasman Sea@Thailand@Togo@Tokelau@Tonga@Trinidad and Tobago@Tromelin Island@Tunisia@Turkey@Turkmenistan@Turks and Caicos Islands@Tuvalu@USA@Uganda@Ukraine@United Arab Emirates@United Kingdom@Uruguay@Uzbekistan@Vanuatu@Venezuela@Viet Nam@Virgin Islands@Wake Island@Wallis and Futuna@West Bank@Western Sahara@Yemen@Zambia@Zimbabwe@not applicable@not collected@not provided@restricted access		
ERC000012	geographic location (latitude)	geographic location (latitude)	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	mandatory		DD	(^.*[+-]?[0-9]+.?[0-9]*.*$)|(^not collected$)|(^not provided$)|(^restricted access$)
ERC000012	geographic location (longitude)	geographic location (longitude)	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	mandatory		DD	(^.*[+-]?[0-9]+.?[0-9]*.*$)|(^not collected$)|(^not provided$)|(^restricted access$)
ERC000012	geographic location (region and locality)	geographic location (region and locality)	The geographical origin of the sample as defined by the specific region name followed by the locality name.	optional			
ERC000012	air environmental package	air environmental package	MIGS/MIMS/MIMARKS extension for reporting of measurements and observations obtained from one or more of the environments where the sample was obtained. All environmental packages listed here are further defined in separate subtables. By giving the name of the environmental package, a selection of fields can be made from the subtables and can be reported	mandatory	air		
ERC000012	environment (biome)	environment (biome)	Biomes are defined based on factors such as plant structures, leaf types, plant spacing, and other factors like climate. Biome should be treated as the descriptor of the broad ecological context of a sample. Examples include: desert, taiga, deciduous woodland, or coral reef. EnvO (v 2013-06-14) terms can be found via the link: www.environmentontology.org/Browse-EnvO	mandatory			
ERC000012	environment (feature)	environment (feature)	Environmental feature level includes geographic environmental features. Compared to biome, feature is a descriptor of the more local environment. Examples include: harbor, cliff, or lake. EnvO (v 2013-06-14) terms can be found via the link: www.environmentontology.org/Browse-EnvO	mandatory			
ERC000012	environment (material)	environment (material)	The environmental material level refers to the material that was displaced by the sample, or material in which a sample was embedded, prior to the sampling event. Environmental material terms are generally mass nouns. Examples include: air, soil, or water. EnvO (v 2013-06-14) terms can be found via the link: www.environmentontology.org/Browse-EnvO	mandatory			
ERC000012	geographic location (elevation)	geographic location (elevation)	The elevation of the sampling site as measured by the vertical distance from mean sea level.	optional		m	[+-]?(0|((0\.)|([1-9][0-9]*\.?))[0-9]*)([Ee][+-]?[0-9]+)?
ERC000012	ventilation rate	ventilation rate	ventilation rate of the system in the sampled premises	optional		L/sec@m3/min	(0|((0\.)|([1-9][0-9]*\.?))[0-9]*)([Ee][+-]?[0-9]+)?
ERC000012	ventilation type	ventilation type	The intentional movement of air from outside a building to the inside through forced or natural movement of air	optional	forced ventilation@mechanical ventilation@natural ventilation		
ERC000012	source material identifiers	source material identifiers	A unique identifier assigned to a material sample (as defined by http://rs.tdwg.org/dwc/terms/materialSampleID, and as opposed to a particular digital record of a material sample) used for extracting nucleic acids, and subsequent sequencing. The identifier can refer either to the original material collected or to any derived sub-samples. The INSDC qualifiers /specimen_voucher, /bio_material, or /culture_collection may or may not share the same value as the source_mat_id field. For instance, the /specimen_voucher qualifier and source_mat_id may both contain 'UAM:Herps:14' , referring to both the specimen voucher and sampled tissue with the same identifier. However, the /culture_collection qualifier may refer to a value from an initial culture (e.g. ATCC:11775) while source_mat_id would refer to an identifier from some derived culture from which the nucleic acids were extracted (e.g. xatc123 or ark:/2154/R2).	optional			
ERC000012	sample collection device or method	sample collection device or method	The method or deviced employed for collecting the sample	optional			
ERC000012	sample material processing	sample material processing	Any processing applied to the sample during or after retrieving the sample from environment. This field accepts OBI, for a browser of OBI (v 2013-10-25) terms please see http://purl.bioontology.org/ontology/OBI	optional			
ERC000012	isolation and growth condition	isolation and growth condition	Publication reference in the form of pubmed ID (pmid), digital object identifier (doi) or url for isolation and growth condition specifications of the organism/material. Mandatory for MIGS and MIMARKS Specimen.	optional			
ERC000012	propagation	propagation	This field is specific to different taxa. For plants: sexual/asexual, for phages: lytic/lysogenic, for plasmids: incompatibility group (Note: there is the strong opinion to name phage propagation obligately lytic or temperate, therefore we also give this choice. Mandatory for MIGS of eukaryotes, plasmids and viruses.	optional			
ERC000012	amount or size of sample collected	amount or size of sample collected	Amount or size of sample (volume, mass or area) that was collected	optional		L@g@kg@m2@m3	(0|((0\.)|([1-9][0-9]*\.?))[0-9]*)([Ee][+-]?[0-9]+)?
ERC000012	oxygenation status of sample	oxygenation status of sample	oxygenation status of sample	optional	aerobic@anaerobic		
ERC000012	organism count	organism count	"total count of any organism per gram or volume of sample, should include name of organism followed by count; can include multiple organism counts"	optional			
ERC000012	sample storage duration	sample storage duration	duration for which sample was stored	optional		days@hours@months@weeks@years	(0|((0\.)|([1-9][0-9]*\.?))[0-9]*)([Ee][+-]?[0-9]+)?
ERC000012	sample storage temperature	sample storage temperature	temperature at which sample was stored, e.g. -80	optional		°C	[+-]?(0|((0\.)|([1-9][0-9]*\.?))[0-9]*)([Ee][+-]?[0-9]+)?
ERC000012	sample storage location	sample storage location	location at which sample was stored, usually name of a specific freezer/room	optional			
ERC000012	specific host	specific host	If there is a host involved, please provide its taxid (or environmental if not actually isolated from the dead or alive host - i.e. pathogen could be isolated from a swipe of a bench etc) and report whether it is a laboratory or natural host). From this we can calculate any number of groupings of hosts (e.g. animal vs plant, all fish hosts, etc)	optional			
ERC000012	health or disease status of specific host	health or disease status of specific host	Health or disease status of specific host at time of collection. This field accepts PATO (v 2013-10-28) terms, for a browser please see http://purl.bioontology.org/ontology/PATO	optional			
ERC000012	barometric pressure	barometric pressure	force per unit area exerted against a surface by the weight of air above that surface	optional		Torr@in. Hg@millibar(hPa)@mm Hg	(0|((0\.)|([1-9][0-9]*\.?))[0-9]*)([Ee][+-]?[0-9]+)?
ERC000012	humidity	humidity	amount of water vapour in the air, at the time of sampling	optional		%@g/m3	(0|((0\.)|([1-9][0-9]*\.?))[0-9]*)([Ee][+-]?[0-9]+)?
ERC000012	pollutants	pollutants	"pollutant types and, amount or concentrations measured at the time of sampling; can report multiple pollutants by entering numeric values preceded by name of pollutant"	optional		M/L@g@mg/L	
ERC000012	solar irradiance	solar irradiance	the amount of solar energy that arrives at a specific area of a surface during a specific time interval	optional		W/m2	(0|((0\.)|([1-9][0-9]*\.?))[0-9]*)([Ee][+-]?[0-9]+)?
ERC000012	wind direction	wind direction	wind direction is the direction from which a wind originates	optional			
ERC000012	wind speed	wind speed	speed of wind measured at the time of sampling	optional		km/h@m/s	(0|((0\.)|([1-9][0-9]*\.?))[0-9]*)([Ee][+-]?[0-9]+)?
ERC000012	temperature	temperature	temperature of the sample at time of sampling	optional		ºC	[+-]?(0|((0\.)|([1-9][0-9]*\.?))[0-9]*)([Ee][+-]?[0-9]+)?
ERC000012	carbon dioxide	carbon dioxide	carbon dioxide (gas) amount or concentration at the time of sampling	optional		µmol/L	(0|((0\.)|([1-9][0-9]*\.?))[0-9]*)([Ee][+-]?[0-9]+)?
ERC000012	carbon monoxide	carbon monoxide	carbon monoxide (gas) amount or concentration at the time of sampling	optional		µM/L	(0|((0\.)|([1-9][0-9]*\.?))[0-9]*)([Ee][+-]?[0-9]+)?
ERC000012	oxygen	oxygen	oxygen (gas) amount or concentration at the time of sampling	optional		mg/L@parts/million	(0|((0\.)|([1-9][0-9]*\.?))[0-9]*)([Ee][+-]?[0-9]+)?
ERC000012	respirable particulate matter	respirable particulate matter	"concentration of substances that remain suspended in the air, and comprise mixtures of organic and inorganic substances (PM10 and PM2.5); can report multiple PM's by entering numeric values preceded by name of PM"	optional		µg/m3	(0|((0\.)|([1-9][0-9]*\.?))[0-9]*)([Ee][+-]?[0-9]+)?
ERC000012	volatile organic compounds	volatile organic compounds	"concentration of carbon-based chemicals that easily evaporate at room temperature; can report multiple volatile organic compounds by entering numeric values preceded by name of compound"	optional		parts/million@µg/m3	
ERC000012	sample salinity	sample salinity	salinity of sample, i.e. measure of total salt concentration	optional		psu	(0|((0\.)|([1-9][0-9]*\.?))[0-9]*)([Ee][+-]?[0-9]+)?
ERC000012	methane	methane	methane (gas) amount or concentration at the time of sampling	optional		µM/L	(0|((0\.)|([1-9][0-9]*\.?))[0-9]*)([Ee][+-]?[0-9]+)?
ERC000012	miscellaneous parameter	miscellaneous parameter	Any other measurement performed or parameter collected, that is not listed here	optional			
ERC000012	subspecific genetic lineage	subspecific genetic lineage	This should provide further information about the genetic distinctness of this lineage by recording additional information i.e biovar, serovar, serotype, biovar, or any relevant genetic typing schemes like Group I plasmid. It can also contain alternative taxonomic information	optional			
ERC000012	trophic level	trophic level	Trophic levels are the feeding position in a food chain. Microbes can be a range of producers (e.g. chemolithotroph)	optional	autotroph@carboxydotroph@chemoautotroph@chemoheterotroph@chemolithoautotroph@chemolithotroph@chemoorganoheterotroph@chemoorganotroph@chemosynthetic@chemotroph@copiotroph@diazotroph@facultative autotroph@heterotroph@lithoautotroph@lithoheterotroph@lithotroph@methanotroph@methylotroph@mixotroph@obligate chemoautolithotroph@oligotroph@organoheterotroph@organotroph@photoautotroph@photoheterotroph@photolithoautotroph@photolithotroph@photosynthetic@phototroph		
ERC000012	relationship to oxygen	relationship to oxygen	Is this organism an aerobe, anaerobe? Please note that aerobic and anaerobic are valid descriptors for microbial environments	optional	aerobe@anaerobe@facultative@microaerophilic@microanaerobe@obligate aerobe@obligate anaerobe		
ERC000012	known pathogenicity	known pathogenicity	To what is the entity pathogenic, for instance plant, fungi, bacteria	optional			
ERC000012	encoded traits	encoded traits	Should include key traits like antibiotic resistance or xenobiotic degradation phenotypes for plasmids, converting genes for phage	optional			
ERC000012	observed biotic relationship	observed biotic relationship	Is it free-living or in a host and if the latter what type of relationship is observed	optional	commensal@free living@mutualism@parasite@symbiont		
ERC000012	chemical administration	chemical administration	"list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v111), please see http://purl.bioontology.org/ontology/CHEBI"	optional			
ERC000012	perturbation	perturbation	"type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types"	optional			
ERC000013	project name	project name	Name of the project within which the sequencing was organized	mandatory			
ERC000013	experimental factor	experimental factor	"Experimental factors are essentially the variable aspects of an experiment design which can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI). For a browser of EFO (v 2.43) terms, please see http://purl.bioontology.org/ontology/EFO; for a browser of OBI (v 2013-10-25) terms please see http://purl.bioontology.org/ontology/OBI"	optional			
ERC000013	ploidy	ploidy	The ploidy level of the genome (e.g. allopolyploid, haploid, diploid, triploid, tetraploid). It has implications for the downstream study of duplicated gene and regions of the genomes (and perhaps for difficulties in assembly). For terms, please select terms listed under class ploidy (PATO:001374) of Phenotypic Quality Ontology (PATO), and for a browser of PATO (v 2013-10-28) please refer to http://purl.bioontology.org/ontology/PATO. Mandatory for MIGS of eukaryotes.	optional			
ERC000013	number of replicons	number of replicons	Reports the number of replicons in a nuclear genome of eukaryotes, in the genome of a bacterium or archaea or the number of segments in a segmented virus. Always applied to the haploid chromosome count of a eukaryote. Mandatory for MIGS of eukaryotes, bacteria, archaea and segmented virus.	optional			[+-]?[0-9]+
